Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.46784,2.39717,163,195,,,INTERNET,2016 ,Mayo
NARANJAS,54382,70070,129,059,,,INTERNET,2016 ,Mayo
MANDARINAS,2308,3071,133,012,,,INTERNET,2016 ,Mayo
LIMONES,7065,13379,189,033,,,INTERNET,2016 ,Mayo
PLATANOS,12493,19287,154,063,,,INTERNET,2016 ,Mayo
MANZANAS,14260,21796,153,036,,,INTERNET,2016 ,Mayo
PERAS,5176,8925,172,027,,,INTERNET,2016 ,Mayo
MELOCOTONES,1034,3543,342,008,,,INTERNET,2016 ,Mayo
NECTARINAS,1868,3911,209,008,,,INTERNET,2016 ,Mayo
ALBARICOQUES,1835,5002,273,014,,,INTERNET,2016 ,Mayo
FRESAS/FRESON,5665,12171,215,033,,,INTERNET,2016 ,Mayo
MELON,9661,13963,145,023,,,INTERNET,2016 ,Mayo
SANDIA,11713,9018,077,019,,,INTERNET,2016 ,Mayo
CIRUELAS,364,1286,353,003,,,INTERNET,2016 ,Mayo
CEREZAS,848,4590,542,01,,,INTERNET,2016 ,Mayo
UVAS,535,2273,424,006,,,INTERNET,2016 ,Mayo
KIWI,5419,13803,255,036,,,INTERNET,2016 ,Mayo
AGUACATE,2707,11265,416,029,,,INTERNET,2016 ,Mayo
PIÑA,4387,7398,169,02,,,INTERNET,2016 ,Mayo
OTRAS FRUTAS FRESCAS,5064,14968,296,029,,,INTERNET,2016 ,Mayo
FRUTAS IV GAMA,3183,4464,14,011,,,INTERNET,2016 ,Mayo
