Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,33.61812,47.65558,142,2738,,,HIPERMERCADOS,2015 ,Junio
NARANJAS,3.13987,3.06811,098,471,,,HIPERMERCADOS,2015 ,Junio
MANDARINAS,24756,35957,145,115,,,HIPERMERCADOS,2015 ,Junio
LIMONES,63114,96352,153,352,,,HIPERMERCADOS,2015 ,Junio
PLATANOS,4.83686,6.10844,126,1408,,,HIPERMERCADOS,2015 ,Junio
MANZANAS,3.46799,5.08236,147,977,,,HIPERMERCADOS,2015 ,Junio
PERAS,1.13376,2.02557,179,493,,,HIPERMERCADOS,2015 ,Junio
MELOCOTONES,1.39920,2.71519,194,625,,,HIPERMERCADOS,2015 ,Junio
NECTARINAS,1.37949,2.42007,175,525,,,HIPERMERCADOS,2015 ,Junio
ALBARICOQUES,67094,1.50043,224,387,,,HIPERMERCADOS,2015 ,Junio
FRESAS/FRESON,18956,60307,318,148,,,HIPERMERCADOS,2015 ,Junio
MELON,4.04398,4.36256,108,756,,,HIPERMERCADOS,2015 ,Junio
SANDIA,7.37530,5.79602,079,795,,,HIPERMERCADOS,2015 ,Junio
CIRUELAS,20879,42643,204,125,,,HIPERMERCADOS,2015 ,Junio
CEREZAS,1.78947,5.21125,291,732,,,HIPERMERCADOS,2015 ,Junio
UVAS,15459,38928,252,064,,,HIPERMERCADOS,2015 ,Junio
KIWI,92427,2.48155,268,412,,,HIPERMERCADOS,2015 ,Junio
AGUACATE,23081,71869,311,189,,,HIPERMERCADOS,2015 ,Junio
PIÑA,50109,74417,149,178,,,HIPERMERCADOS,2015 ,Junio
OTRAS FRUTAS FRESCAS,1.29346,2.67928,207,585,,,HIPERMERCADOS,2015 ,Junio
FRUTAS IV GAMA,63072,1.02267,162,139,,,HIPERMERCADOS,2015 ,Junio
