Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,26.91939,37.39257,139,2723,,,HIPERMERCADOS,2013 ,Febrero
NARANJAS,7.79959,6.30731,081,947,,,HIPERMERCADOS,2013 ,Febrero
MANDARINAS,2.61370,3.46313,132,708,,,HIPERMERCADOS,2013 ,Febrero
LIMONES,57026,78419,138,366,,,HIPERMERCADOS,2013 ,Febrero
PLATANOS,4.80417,6.36820,133,1514,,,HIPERMERCADOS,2013 ,Febrero
MANZANAS,4.31320,5.80381,135,1245,,,HIPERMERCADOS,2013 ,Febrero
PERAS,1.88621,2.78056,147,782,,,HIPERMERCADOS,2013 ,Febrero
MELOCOTONES,9140,20463,224,023,,,HIPERMERCADOS,2013 ,Febrero
ALBARICOQUES,1743,3495,201,007,,,HIPERMERCADOS,2013 ,Febrero
FRESAS/FRESON,1.49664,4.78114,319,81,,,HIPERMERCADOS,2013 ,Febrero
MELON,32973,62102,188,051,,,HIPERMERCADOS,2013 ,Febrero
SANDIA,000,000,0,0,,,HIPERMERCADOS,2013 ,Febrero
CIRUELAS,6513,20189,31,061,,,HIPERMERCADOS,2013 ,Febrero
CEREZAS,2438,8648,355,025,,,HIPERMERCADOS,2013 ,Febrero
UVAS,9444,37130,393,069,,,HIPERMERCADOS,2013 ,Febrero
KIWI,1.04571,2.09305,2,498,,,HIPERMERCADOS,2013 ,Febrero
AGUACATE,32281,84295,261,187,,,HIPERMERCADOS,2013 ,Febrero
PIÑA,63027,82605,131,18,,,HIPERMERCADOS,2013 ,Febrero
OTRAS FRUTAS FRESCAS,81430,1.82191,224,435,,,HIPERMERCADOS,2013 ,Febrero
FRUTAS IV GAMA,50531,69436,137,154,,,HIPERMERCADOS,2013 ,Febrero
FRUTAS ECOLOGICAS,84699,1.21347,143,214,,,HIPERMERCADOS,2013 ,Febrero
