Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,31.42485,48.35827,154,262,,,HIPERMERCADOS,2018 ,Junio
NARANJAS,4.27123,4.55091,107,494,,,HIPERMERCADOS,2018 ,Junio
MANDARINAS,32495,51269,158,128,,,HIPERMERCADOS,2018 ,Junio
LIMONES,69575,1.48404,213,383,,,HIPERMERCADOS,2018 ,Junio
PLATANOS,3.97223,5.99595,151,1265,,,HIPERMERCADOS,2018 ,Junio
MANZANAS,2.49680,4.71563,189,69,,,HIPERMERCADOS,2018 ,Junio
PERAS,1.31742,2.16170,164,488,,,HIPERMERCADOS,2018 ,Junio
MELOCOTONES,1.16274,2.07636,179,52,,,HIPERMERCADOS,2018 ,Junio
NECTARINAS,69539,1.42947,206,337,,,HIPERMERCADOS,2018 ,Junio
ALBARICOQUES,60498,1.25972,208,339,,,HIPERMERCADOS,2018 ,Junio
FRESAS/FRESON,35854,1.04550,292,277,,,HIPERMERCADOS,2018 ,Junio
MELON,4.91165,4.70651,096,813,,,HIPERMERCADOS,2018 ,Junio
SANDIA,6.12537,5.03103,082,665,,,HIPERMERCADOS,2018 ,Junio
CIRUELAS,14224,33083,233,103,,,HIPERMERCADOS,2018 ,Junio
CEREZAS,1.20256,4.01967,334,627,,,HIPERMERCADOS,2018 ,Junio
UVAS,9896,35695,361,076,,,HIPERMERCADOS,2018 ,Junio
KIWI,77787,2.83020,364,397,,,HIPERMERCADOS,2018 ,Junio
AGUACATE,41614,1.70277,409,314,,,HIPERMERCADOS,2018 ,Junio
PIÑA,59112,79469,134,199,,,HIPERMERCADOS,2018 ,Junio
OTRAS FRUTAS FRESCAS,1.25890,3.35365,266,606,,,HIPERMERCADOS,2018 ,Junio
POMELO,20957,33143,158,037,,,HIPERMERCADOS,2018 ,Junio
CHIRIMOYA,000,000,0,0,,,HIPERMERCADOS,2018 ,Junio
FRUTAS IV GAMA,1.75251,2.53006,144,329,,,HIPERMERCADOS,2018 ,Junio
