Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,52.88663,47.78905,09,6125,,,SUPERMERCADO,2018 ,Septiembre
PATATAS FRESCAS,32.69153,26.03449,08,4004,,,SUPERMERCADO,2018 ,Septiembre
PATATAS CONGELADAS,2.70341,3.22300,119,866,,,SUPERMERCADO,2018 ,Septiembre
PATATAS PROCESADAS,3.49834,18.53156,53,3835,,,SUPERMERCADO,2018 ,Septiembre
T.HORTALIZAS FRESCAS,86.83542,166.83425,192,8517,,,SUPERMERCADO,2018 ,Septiembre
TOMATES,20.09392,32.45439,162,5312,,,SUPERMERCADO,2018 ,Septiembre
CEBOLLAS,11.70798,12.30498,105,4102,,,SUPERMERCADO,2018 ,Septiembre
AJOS,68773,3.37524,491,1293,,,SUPERMERCADO,2018 ,Septiembre
COLES,1.50976,1.90964,126,595,,,SUPERMERCADO,2018 ,Septiembre
PEPINOS,4.33752,5.68144,131,2214,,,SUPERMERCADO,2018 ,Septiembre
JUDIAS VERDES,2.17662,7.14566,328,1462,,,SUPERMERCADO,2018 ,Septiembre
PIMIENTOS,6.43647,12.70705,197,3759,,,SUPERMERCADO,2018 ,Septiembre
CHAMPIÑONES+O.SETAS,2.71185,10.65182,393,247,,,SUPERMERCADO,2018 ,Septiembre
LECHUGA/ESC./ENDIVIA,6.72276,22.41188,333,4442,,,SUPERMERCADO,2018 ,Septiembre
ESPARRAGOS,45993,2.13551,464,461,,,SUPERMERCADO,2018 ,Septiembre
VERDURAS DE HOJA,1.17635,4.47034,38,1282,,,SUPERMERCADO,2018 ,Septiembre
BERENJENAS,2.04582,3.40616,166,1376,,,SUPERMERCADO,2018 ,Septiembre
ZANAHORIAS,7.47244,5.87612,079,3455,,,SUPERMERCADO,2018 ,Septiembre
CALABACINES,6.56371,7.42391,113,2897,,,SUPERMERCADO,2018 ,Septiembre
OTR.HORTALIZAS/VERD.,12.73256,34.88012,274,5275,,,SUPERMERCADO,2018 ,Septiembre
BROCOLI,1.78716,3.61261,202,1247,,,SUPERMERCADO,2018 ,Septiembre
ALCACHOFAS,16786,49040,292,119,,,SUPERMERCADO,2018 ,Septiembre
VERD./HORT. IV GAMA,12.65967,40.30080,318,5289,,,SUPERMERCADO,2018 ,Septiembre
