Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,50.77509,44.36767,087,576,,,SUPERMERCADO,2016 ,Mayo
PATATAS FRESCAS,30.12954,24.01424,08,3709,,,SUPERMERCADO,2016 ,Mayo
PATATAS CONGELADAS,2.85634,3.22276,113,816,,,SUPERMERCADO,2016 ,Mayo
PATATAS PROCESADAS,3.55784,17.13067,481,3554,,,SUPERMERCADO,2016 ,Mayo
T.HORTALIZAS FRESCAS,96.27166,167.94933,174,8619,,,SUPERMERCADO,2016 ,Mayo
TOMATES,21.62526,30.51554,141,5872,,,SUPERMERCADO,2016 ,Mayo
CEBOLLAS,12.58654,13.47184,107,4196,,,SUPERMERCADO,2016 ,Mayo
AJOS,1.11021,5.00900,451,1957,,,SUPERMERCADO,2016 ,Mayo
COLES,1.58489,1.58752,1,717,,,SUPERMERCADO,2016 ,Mayo
PEPINOS,3.83283,4.79374,125,2032,,,SUPERMERCADO,2016 ,Mayo
JUDIAS VERDES,3.59599,7.62263,212,1966,,,SUPERMERCADO,2016 ,Mayo
PIMIENTOS,7.64147,14.26767,187,3998,,,SUPERMERCADO,2016 ,Mayo
CHAMPIÑONES+O.SETAS,2.58680,9.99603,386,2366,,,SUPERMERCADO,2016 ,Mayo
LECHUGA/ESC./ENDIVIA,6.92949,21.82597,315,4441,,,SUPERMERCADO,2016 ,Mayo
ESPARRAGOS,1.58082,5.43511,344,1042,,,SUPERMERCADO,2016 ,Mayo
VERDURAS DE HOJA,1.27964,4.38794,343,1286,,,SUPERMERCADO,2016 ,Mayo
BERENJENAS,2.53133,2.97118,117,1724,,,SUPERMERCADO,2016 ,Mayo
ZANAHORIAS,7.45780,5.24054,07,3296,,,SUPERMERCADO,2016 ,Mayo
CALABACINES,6.78819,7.68222,113,2886,,,SUPERMERCADO,2016 ,Mayo
OTR.HORTALIZAS/VERD.,15.14040,33.14240,219,536,,,SUPERMERCADO,2016 ,Mayo
VERD./HORT. IV GAMA,8.73961,30.34889,347,4519,,,SUPERMERCADO,2016 ,Mayo
