,PRODUCTOS,Semana12
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 12
4,,16/03 - 22/03
5,FRUTAS,
6,Limón  (€/100 kg),40.02773184836154
7,Naranja  (€/100 kg),29.820271356729688
8,Manzana Golden (€/100 kg),36.960920801565784
9,Pera Blanquilla  (€/100kg),67.16300871018281
10,Aguacate (€/100 kg),219.11585523417995
11,Plátano (€/100 kg),13.87
12,HORTALIZAS,
13,Acelga (€/100kg),54.89869831546707
14,Alcachofa (€/100kg),53.29391120422222
15,Berenjena (€/100 kg),50.08574343607306
16,Calabacín (€/100 kg),85.8407757907794
17,Cebolla (€/100 kg),11.73490680456046
18,Champiñón (€/100kg),171.5798209026191
19,Coliflor (€/100kg),47.401025934401225
20,Col-repollo (€/100kg),29.216806243805753
21,Escarola (€/100 ud),27.46474967490246
22,Espárrago (€/100kg),234.91062176165798
23,Espinaca (€/100 kg),72.98046582959998
24,Fresa (€/100 kg),104.5
25,Haba verde (€/100 kg),76.56708973962095
26,Judía verde tipo plana (€/100 kg),181.13654261704684
27,Lechuga Romana (€/100 ud),27.449998582927098
28,Pepino (€/100 kg),31.490644345435033
29,Pimiento verde tipo italiano (€/100 kg),112.69837134695342
30,Puerro (€/100 kg),60.37664974619289
31,Tomate liso (€/100 kg),73.69533688171396
32,Zanahoria (€/100 kg) ,26.72913756537543
33,Patata (€/100 kg) ,33.39287662954538
34,,
35,,
