,PRODUCTOS,Semana25
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 25
4,,15/06 - 21/06
5,FRUTAS,
6,Limón  (€/100 kg),48.72973131886781
7,Naranja - Grupo Blancas (€/100 kg),51.83001551944851
8,Manzana Golden (€/100 kg),61.91981577655775
9,Albaricoque (€/100 kg),73.14320129653264
10,Cereza (€/100 kg),185.60258327353017
11,Ciruela (€/100 kg),67.23089910153428
12,Melocotón (€/100 kg),63.664003835960635
13,Nectarina (€/100 kg),76.74837309818895
14,Aguacate (€/100 kg),231.71000000000004
15,Higo / breva (€/100 kg),216.7438850629304
16,Níspero (€/100 kg),168.5
17,Plátano (€/100 kg),32.85
18,Uva de mesa (€/100 kg),85
19,HORTALIZAS,
20,Acelga (€/100kg),67.10386890641678
21,Ajo (€/100kg),162.82306641007193
22,Berenjena (€/100 kg),30.697390368852457
23,Calabacín (€/100 kg),30.01431765607272
24,Cebolla (€/100 kg),15.120350647210074
25,Champiñón (€/100kg),146.98079575666782
26,Coliflor (€/100kg),89.28157015581314
27,Col-repollo (€/100kg),22.698488086756907
28,Espárrago (€/100kg),121.71813781601676
29,Haba verde (€/100 kg),97.29918144611186
30,Judía verde tipo plana (€/100 kg),165.0917491406631
31,Lechuga Romana (€/100 ud),27.068797840332884
32,Melón Piel de Sapo (€/100 kg),46.06698152832793
33,Pepino (€/100 kg),34.881033725560236
34,Pimiento verde tipo italiano (€/100 kg),70.49028387729807
35,Puerro (€/100 kg),44.81831372003336
