,PRODUCTOS,Semana38
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 38
4,,14/09-20/09
5,FRUTAS,
6,Clementina  (€/100 kg),39.8886658983908
7,Limón  (€/100 kg),52.88591046637343
8,Naranja grupo Navel (€/100 kg),24.37299807129679
9,Satsuma (€/100 kg),23.502145767315525
10,Manzana Golden (€/100 kg),49.04687719313059
11,Pera Blanquilla (€/100 kg),53.065163108910724
12,Pera Conferencia (€/100 kg),64.75483124515635
13,Ciruela (€/100 kg),55.84762545717572
14,Melocotón (€/100 kg),87.4618802708258
15,Nectarina (€/100 kg),94.24738416154457
16,Aguacate (€/100 kg),328.41
17,Caqui (€/100 kg),26
18,Granada (€/100 kg),63.4970575753289
19,Higo (€/100 kg),201.7880501418571
20,Plátano (€/100 kg),69.41
21,Uva de mesa (€/100 kg),63.25977254070134
22,HORTALIZAS,
23,Acelga (€/100kg),51.846672111065736
24,Ajo (€/100kg),146.52834216846378
25,Alcachofa (€/100kg),64.2
26,Berenjena (€/100 kg),70.61702246038786
27,Calabacín (€/100 kg),57.791605336858645
28,Cebolla (€/100 kg),13.040239683368451
29,Champiñón (€/100kg),154.33315748929905
30,Coliflor (€/100 kg),41.666666666666664
31,Col-repollo hoja lisa (€/100 kg),29.977422839232908
32,Judía verde tipo plana (€/100 kg),175.6295740382295
33,Lechuga Romana (€/100 ud),23.537873767699747
34,Melón Piel de Sapo (€/100 kg),40.01822364838382
35,Pepino (€/100 kg),55.40376299272693
