,PRODUCTOS,Semana07
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 07
4,,10 - 16/02
5,FRUTAS,
6,Clementina  (€/100 kg),61.5
7,Limón  (€/100 kg),39.74234243078735
8,Naranja  (€/100 kg),30.691754679284227
9,Aguacate (€/100 kg),239.60661674441442
10,Manzana Golden (€/100 kg),38.57044512720869
11,Pera Blanquilla  (€/100kg),66.84445040410098
12,Plátano (€/100 kg),17.4
13,HORTALIZAS,
14,Acelga (€/100kg),60.8414652014652
15,Alcachofa (€/100kg),67.00870654286332
16,Berenjena (€/100 kg),35.87103861966705
17,Calabacín (€/100 kg),33.2777566355761
18,Cebolla (€/100 kg),9.082227756395744
19,Champiñón (€/100kg),171.18228821354703
20,Coliflor (€/100kg),34.21473639583022
21,Col-repollo (€/100kg),32.16964562055091
22,Escarola (€/100 ud),33.73236179799978
23,Espinaca (€/100 kg),91.09467789890977
24,Fresa (€/100 kg),220.00000000000003
25,Haba verde (€/100 kg),119.0024261771748
26,Judía verde tipo plana (€/100 kg),181.03294928417415
27,Lechuga Romana (€/100 ud),29.478405606196322
28,Pepino (€/100 kg),45.37665137263375
29,Pimiento verde tipo italiano (€/100 kg),75.95381828121278
30,Puerro (€/100 kg),60.57859759288331
31,Tomate liso (€/100 kg),61.57870527065612
32,Zanahoria (€/100 kg) ,19
33,Patata (€/100 kg) ,22.618707179028895
34,,
35,,
