,PRODUCTOS,Semana36
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 36
4,,31/08-06/09
5,FRUTAS,
6,Clementina  (€/100 kg),37.65428370118781
7,Limón  (€/100 kg),22.5
8,Naranja grupo Navel (€/100 kg),24.63156320069623
9,Satsuma (€/100 kg),24.541666666666664
10,Manzana Golden (€/100 kg),52.581002158537366
11,Pera Blanquilla (€/100 kg),55.055885681946805
12,Ciruela (€/100 kg),45.36481243458964
13,Melocotón (€/100 kg),80.19956439044005
14,Nectarina (€/100 kg),88.27700545432776
15,Aguacate (€/100 kg),337.75
16,Caqui (€/100 kg),26.5
17,Higo (€/100 kg),142.89417178525295
18,Plátano (€/100 kg),55.66
19,Uva de mesa (€/100 kg),68.94934015344964
20,HORTALIZAS,
21,Acelga (€/100kg),66.84008958879603
22,Ajo (€/100kg),132.9124975609934
23,Berenjena (€/100 kg),71.02083216237986
24,Calabacín (€/100 kg),55.85825974142006
25,Cebolla (€/100 kg),11.025269492127679
26,Champiñón (€/100kg),140.69783707362637
27,Coliflor (€/100 kg),45.83333333333333
28,Col-repollo hoja lisa (€/100 kg),30.11643958262115
29,Judía verde tipo plana (€/100 kg),170.46507769655986
30,Lechuga Romana (€/100 ud),28.24857593953182
31,Melón Piel de Sapo (€/100 kg),29.843568879316926
32,Pepino (€/100 kg),75.42951543708172
33,Pimiento verde tipo italiano (€/100 kg),62.75691679983188
34,Puerro (€/100 kg),56.13105786153306
35,Sandía (€/100 kg),30.353223003560046
