,PRODUCTOS,Semana06
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 06
4,,03 - 09/02
5,FRUTAS,
6,Clementina  (€/100 kg),45.760226763179816
7,Limón  (€/100 kg),40.05921526277898
8,Naranja  (€/100 kg),30.330796520076813
9,Aguacate (€/100 kg),242.6900319175055
10,Manzana Golden (€/100 kg),38.86260324245552
11,Pera Blanquilla  (€/100kg),65.84400684350632
12,Plátano (€/100 kg),19.6
13,HORTALIZAS,
14,Acelga (€/100kg),61.35396341463414
15,Alcachofa (€/100kg),77.36111638954873
16,Berenjena (€/100 kg),69.15920837867247
17,Calabacín (€/100 kg),33.857431027588966
18,Cebolla (€/100 kg),9.16493849520791
19,Champiñón (€/100kg),171.24041645411992
20,Coliflor (€/100kg),36.339000705639684
21,Col-repollo (€/100kg),31.24090838749613
22,Escarola (€/100 ud),33.71753159687877
23,Espinaca (€/100 kg),90.6199504459861
24,Fresa (€/100 kg),243.00000000000003
25,Haba verde (€/100 kg),144.71186485767493
26,Judía verde tipo plana (€/100 kg),180.6175352236337
27,Lechuga Romana (€/100 ud),37.205135570894136
28,Pepino (€/100 kg),48.60499999999998
29,Pimiento verde tipo italiano (€/100 kg),74.1708474956572
30,Puerro (€/100 kg),60.955494505494514
31,Tomate liso (€/100 kg),67.30417913589098
32,Zanahoria (€/100 kg) ,19
33,Patata (€/100 kg) ,21.85768795398822
34,,
35,,
