,PRODUCTOS,Semana51
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 51
4,,14/12-20/12
5,FRUTAS,
6,Clementina  (€/100 kg),20.087303551698977
7,Limón  (€/100 kg),22.341573201341
8,Mandarina (€/100 kg),36.33661185797927
9,Naranja grupo Blancas (€/100 kg),25.549748842891916
10,Naranja grupo Navel (€/100 kg),24.160550436304494
11,Manzana Golden (€/100 kg),57.78000963721473
12,Pera Blanquilla (€/100 kg),50.79704213160792
13,Pera Conferencia (€/100 kg),67.71735875055568
14,Aguacate (€/100 kg),178.31077273347665
15,Caqui (€/100 kg),36.44169323497242
16,Granada (€/100 kg),57.50000000000001
17,Plátano (€/100 kg),34.4
18,HORTALIZAS,
19,Acelga (€/100kg),56.47991229334244
20,Ajo (€/100kg),155.61391828707426
21,Alcachofa (€/100kg),148.67106273565776
22,Berenjena (€/100 kg),64.83071173970853
23,Brócoli (€/100 kg),35.88001374910626
24,Calabacín (€/100 kg),22.657351698059287
25,Cebolla (€/100 kg),16.580873357743585
26,Champiñón (€/100kg),170.16781831155663
27,Coliflor (€/100 kg),41.625927713605826
28,Col-repollo hoja lisa (€/100 kg),31.590331366017573
29,Escarola (€/100 ud),35.178514947684604
30,Espinaca (€/100 kg),110.95049665755944
31,Haba verde (€/100 kg),141.78376616493534
32,Judía verde tipo plana (€/100 kg),175.0819045124813
33,Lechuga Romana (€/100 ud),19.841692201872654
34,Pepino (€/100 kg),49.027753628115526
35,Pimiento verde tipo italiano (€/100 kg),30.653130322419827
