,PRODUCTOS,Semana53
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 53
4,,28/12-03/01
5,FRUTAS,
6,Clementina  (€/100 kg),19.30856997961255
7,Limón  (€/100 kg),19.061048800894
8,Mandarina (€/100 kg),38.59414692255525
9,Naranja grupo Blancas (€/100 kg),25.07
10,Naranja grupo Navel (€/100 kg),22.50163083359575
11,Manzana Golden (€/100 kg),57.35787269611648
12,Pera Blanquilla (€/100 kg),50.79704213160792
13,Pera Conferencia (€/100 kg),68.35328175216597
14,Aguacate (€/100 kg),190.7331316604616
15,Caqui (€/100 kg),55
16,Granada (€/100 kg),57.50000000000001
17,Plátano (€/100 kg),31.790000000000003
18,HORTALIZAS,
19,Acelga (€/100kg),56.57969908559752
20,Ajo (€/100kg),155.61084150233017
21,Alcachofa (€/100kg),116.64785047517427
22,Berenjena (€/100 kg),67.26988022930553
23,Brócoli (€/100 kg),46.90577967555454
24,Calabacín (€/100 kg),49.17041227197529
25,Cebolla (€/100 kg),16.756982725777007
26,Champiñón (€/100kg),169.78244294430246
27,Coliflor (€/100 kg),40.948607997240956
28,Col-repollo hoja lisa (€/100 kg),29.305321600216264
29,Escarola (€/100 ud),32.74355156095599
30,Espinaca (€/100 kg),100.86109487247849
31,Haba verde (€/100 kg),146.36278884884462
32,Judía verde tipo plana (€/100 kg),175.55826699217795
33,Lechuga Romana (€/100 ud),19.252887464913655
34,Pepino (€/100 kg),33.92089415014587
35,Pimiento verde tipo italiano (€/100 kg),46.1567668428991
