,PRODUCTOS,Semana34
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 34
4,,17/08-23/08
5,FRUTAS,
6,Clementina  (€/100 kg),34.97984822540646
7,Limón  (€/100 kg),24.999999999999996
8,Naranja grupo Navel (€/100 kg),22.75
9,Satsuma (€/100 kg),24.537113703963158
10,Manzana Golden (€/100 kg),55.585294248476494
11,Pera Blanquilla (€/100 kg),50
12,Albaricoque (€/100 kg),110
13,Cereza (€/100 kg),225
14,Ciruela (€/100 kg),43.17752324417837
15,Melocotón (€/100 kg),72.04561170991296
16,Nectarina (€/100 kg),83.63371691209308
17,Aguacate (€/100 kg),305.25
18,Caqui (€/100 kg),26.5
19,Higo (€/100 kg),115.67898816596377
20,Plátano (€/100 kg),57
21,Uva de mesa (€/100 kg),71.8233399982856
22,HORTALIZAS,
23,Acelga (€/100kg),74.92172799151905
24,Ajo (€/100kg),129.29983349506583
25,Berenjena (€/100 kg),64.06981130324053
26,Calabacín (€/100 kg),35.60262508008982
27,Cebolla (€/100 kg),10.857686119050147
28,Champiñón (€/100kg),135.3324721264074
29,Judía verde tipo plana (€/100 kg),163.553040192585
30,Lechuga Romana (€/100 ud),20.194829339988328
31,Melón Piel de Sapo (€/100 kg),29.355831466222075
32,Pepino (€/100 kg),51.30424360711341
33,Pimiento verde tipo italiano (€/100 kg),63.82233233241082
34,Puerro (€/100 kg),42.41493237301621
35,Sandía (€/100 kg),20.563989361412176
