,PRODUCTOS,Semana46
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 46
4,,09/11-15/11
5,FRUTAS,
6,Clementina  (€/100 kg),27.31304527300574
7,Limón  (€/100 kg),34.64109268542355
8,Mandarina (€/100 kg),36.40122538810134
9,Naranja grupo Blancas (€/100 kg),26.379089686994515
10,Naranja grupo Navel (€/100 kg),24.377224155279315
11,Satsuma (€/100 kg),30.225123510063376
12,Manzana Golden (€/100 kg),54.9670958941714
13,Pera Blanquilla (€/100 kg),53.09952530313622
14,Pera Conferencia (€/100 kg),62.46500639020724
15,Melocotón (€/100 kg),88
16,Aguacate (€/100 kg),182.13815862225806
17,Caqui (€/100 kg),27.61216974456592
18,Granada (€/100 kg),61.44048134732439
19,Plátano (€/100 kg),88.49
20,Uva de mesa (€/100 kg),66.5
21,HORTALIZAS,
22,Acelga (€/100kg),58.03582910537421
23,Ajo (€/100kg),155.61391828707426
24,Alcachofa (€/100kg),163.20423698109005
25,Berenjena (€/100 kg),23.596772842900783
26,Brócoli (€/100 kg),42.9879952681327
27,Calabacín (€/100 kg),26.17437936064978
28,Cebolla (€/100 kg),17.108266307116065
29,Champiñón (€/100kg),153.9513386188832
30,Coliflor (€/100 kg),45.8440194337931
31,Col-repollo hoja lisa (€/100 kg),30.725481524367037
32,Escarola (€/100 kg),35.95701945968678
33,Espinaca (€/100 kg),143.76742230630512
34,Haba verde (€/100 kg),146
35,Judía verde tipo plana (€/100 kg),144.29243661784287
