,PRODUCTOS,Semana27
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 27
4,,29/06 - 05/07
5,FRUTAS,
6,Limón  (€/100 kg),42.198527267460896
7,Naranja - Grupo Blancas (€/100 kg),56.13
8,Manzana Golden (€/100 kg),55
9,Albaricoque (€/100 kg),72.67704685952158
10,Cereza (€/100 kg),197.36646025238102
11,Ciruela (€/100 kg),46.132204144879445
12,Melocotón (€/100 kg),58.87679260450072
13,Nectarina (€/100 kg),74.37938498976145
14,Aguacate (€/100 kg),266.76
15,Plátano (€/100 kg),33.55
16,Uva de mesa (€/100 kg),72.5
17,HORTALIZAS,
18,Acelga (€/100kg),69.33410920457793
19,Ajo (€/100kg),146.55062342055191
20,Berenjena (€/100 kg),29.28456097547983
21,Calabacín (€/100 kg),25.540041648766653
22,Cebolla (€/100 kg),14.14505153463606
23,Champiñón (€/100kg),138.309630174872
24,Judía verde tipo plana (€/100 kg),155.29619933215236
25,Lechuga Romana (€/100 ud),28.999873679865633
26,Melón Piel de Sapo (€/100 kg),33.21397347297872
27,Pepino (€/100 kg),28.66836988376674
28,Pimiento verde tipo italiano (€/100 kg),69.49589830204296
29,Puerro (€/100 kg),37.84325993863829
30,Sandía (€/100 kg),19.424749775274574
31,Tomate liso (€/100 kg),55.413204120940556
32,Zanahoria (€/100 kg) ,24.56936453792897
33,Patata (€/100 kg) ,21.725546643343378
34,,
35,,
