,PRODUCTOS,Semana21
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 21
4,,18/05 - 24/05
5,FRUTAS,
6,Limón  (€/100 kg),69.63568742338299
7,Naranja  (€/100 kg),67.5
8,Manzana Golden (€/100 kg),49.50938196513439
9,Albaricoque (€/100 kg),77.43852471956849
10,Cereza (€/100 kg),262.9571655885182
11,Melocotón (€/100 kg),83.0660892767423
12,Nectarina (€/100 kg),89.91394748706091
13,Aguacate (€/100 kg),215.6945839041426
14,Níspero (€/100 kg),91.81297829313137
15,Plátano (€/100 kg),22.32
16,HORTALIZAS,
17,Acelga (€/100kg),54.831335826271136
18,Ajo (€/100kg),179.57486484876463
19,Alcachofa (€/100kg),69.90842304457527
20,Berenjena (€/100 kg),41.10182034709755
21,Calabacín (€/100 kg),21.152095098868973
22,Cebolla (€/100 kg),14.075323674350953
23,Champiñón (€/100kg),160.75441310428022
24,Coliflor (€/100kg),82.93184992958756
25,Col-repollo (€/100kg),26.003736635391668
26,Escarola (€/100 ud),45
27,Espárrago (€/100kg),107.9814728294797
28,Espinaca (€/100 kg),104.56920045045045
29,Fresa (€/100 kg),99.54104639298087
30,Haba verde (€/100 kg),62.28993456924754
31,Judía verde tipo plana (€/100 kg),157.14052400840941
32,Lechuga Romana (€/100 ud),23.42323015858733
33,Pepino (€/100 kg),43.34378989436296
34,Pimiento verde tipo italiano (€/100 kg),47.379598894307776
35,Puerro (€/100 kg),49.12640640365924
