,PRODUCTOS,Semana18
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 18
4,,27/04 - 03/05
5,FRUTAS,
6,Limón  (€/100 kg),69.27323943661972
7,Naranja  (€/100 kg),58.603348163788546
8,Manzana Golden (€/100 kg),38.7596995380649
9,Albaricoque (€/100 kg),109.99999999999999
10,Melocotón (€/100 kg),60
11,Aguacate (€/100 kg),230.03411437569036
12,Níspero (€/100 kg),88.48901706542078
13,Plátano (€/100 kg),21.81
14,HORTALIZAS,
15,Acelga (€/100kg),59.75043349565104
16,Alcachofa (€/100kg),56.009198498791825
17,Berenjena (€/100 kg),37.563548092028086
18,Calabacín (€/100 kg),29.660221087533156
19,Cebolla (€/100 kg),21.51295014925505
20,Champiñón (€/100kg),159.39420224584904
21,Coliflor (€/100kg),73.81352046783626
22,Col-repollo (€/100kg),37.53860083323022
23,Escarola (€/100 ud),32.09188876013905
24,Espárrago (€/100kg),160.2075342099112
25,Espinaca (€/100 kg),98.85204739964615
26,Fresa (€/100 kg),100.6
27,Haba verde (€/100 kg),63.85769793189888
28,Judía verde tipo plana (€/100 kg),142.01735023724794
29,Lechuga Romana (€/100 ud),24.806363980865637
30,Pepino (€/100 kg),27.719305254686255
31,Pimiento verde tipo italiano (€/100 kg),59.06933119081505
32,Puerro (€/100 kg),44.36160119913592
33,Tomate liso (€/100 kg),39.575058569640895
34,Zanahoria (€/100 kg) ,27.719300444184523
35,Patata (€/100 kg) ,49.511269644940725
