,PRODUCTOS,Semana13
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 13
4,,23/03 - 29/03
5,FRUTAS,
6,Limón  (€/100 kg),44.11390386439433
7,Naranja  (€/100 kg),31.892630903047568
8,Manzana Golden (€/100 kg),36.960920801565784
9,Pera Blanquilla  (€/100kg),68.68027440633246
10,Aguacate (€/100 kg),223.9422874761415
11,Plátano (€/100 kg),16.11
12,HORTALIZAS,
13,Acelga (€/100kg),53.84174412247129
14,Alcachofa (€/100kg),50.49946496917932
15,Berenjena (€/100 kg),44.75341707691211
16,Calabacín (€/100 kg),99.83199647393928
17,Cebolla (€/100 kg),14.70583086042849
18,Champiñón (€/100kg),171.5798209026191
19,Coliflor (€/100kg),60.308773836765816
20,Col-repollo (€/100kg),30.71556758296539
21,Escarola (€/100 ud),28.57756827048114
22,Espárrago (€/100kg),234.09258125294392
23,Espinaca (€/100 kg),70.59169164882228
24,Fresa (€/100 kg),94
25,Haba verde (€/100 kg),75.67026278677812
26,Judía verde tipo plana (€/100 kg),197.14993397358944
27,Lechuga Romana (€/100 ud),27.55371414805578
28,Pepino (€/100 kg),17.501115693972682
29,Pimiento verde tipo italiano (€/100 kg),134.20941326912146
30,Puerro (€/100 kg),57.79271211022481
31,Tomate liso (€/100 kg),59.02820182378643
32,Zanahoria (€/100 kg) ,31.83030369557264
33,Patata (€/100 kg) ,40.98550386895469
34,,
35,,
