,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JUNIO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JUNIO 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
veza para forraje (5),,,2,143.6,146.8,148.3,101.0,,5,"2,139.4","1,428.9","2,028.3",141.9,almendra (13),,,,,,,,,6,339.0,332.0,353.7,106.6,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,6,8.0,12.6,12.3,98.2,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,11,4.4,5.2,,,,11,153.8,178.2,,,VIÑEDO,,,,,,,,,,,,,,,
espárrago,,,7,14.7,14.5,,,,6,68.4,67.7,68.9,101.8,uva de mesa,,,,,,,,,6,272.8,331.5,,,,
lechuga total,,,5,33.7,35.4,34.7,98.2,,5,934.7,"1,008.5",990.6,98.2,uva vinificación (16),,,,,,,,,6,"6,595.2","5,092.2",,,,
sandía,,,4,20.4,21.5,21.5,100.0,,5,"1,092.4","1,210.7","1,220.5",100.8,vino + mosto (14),,,,,,,,,6,"50,355.4","37,728.3",,,,
melón,,,4,19.0,19.4,18.6,95.6,,11,664.4,641.5,,,uva pasa (15),,,,,,,,,11,0.9,0.8,,,,
tomate (rec. 1-i/31-v),,,5,11.3,10.9,10.6,97.3,,5,991.8,975.6,801.5,82.2,,,,,,,,,,,,,,,,
tomate (rec. 1-vi/30-ix),,,4,40.1,42.2,41.6,98.6,,6,"3,336.1","3,814.0","3,419.4",89.7,OLIVAR,,,,,,,,,,,,,,,
tomate (rec. 1-x/31xii),,,6,4.7,4.3,,,,12,440.6,423.4,,,aceituna de aderezo,,,,,,,,,11,601.3,470.4,,,,
tomate total,,,12,56.1,57.4,,,,12,"4,768.6","5,213.0",,,aceituna de almazara,,,,,,,,,3,"9,114.9","5,433.5",,,,
tomate conserva (6),,,6,34.2,33.8,33.3,98.6,,6,"2,698.7","3,205.0","2,812.8",87.8,aceite,,,,,,,,,3,"1,804.9","1,118.9",,,,
