Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
09-2015,TOMATES,3561.11,6354.37,1.78,1.34,HIPERMERCADOS,2015,9
09-2015,CEBOLLAS,2133.83,2203.91,1.03,9.27,HIPERMERCADOS,2015,9
09-2015,AJOS,163.25,769.33,4.71,0.28,HIPERMERCADOS,2015,9
09-2015,COLES,315.39,353.81,1.12,1.17,HIPERMERCADOS,2015,9
09-2015,PEPINOS,760.59,975.13,1.28,4.86,HIPERMERCADOS,2015,9
09-2015,JUDIAS VERDES,304.84,982.28,3.22,2.46,HIPERMERCADOS,2015,9
09-2015,PIMIENTOS,1168.96,2282.0,1.95,9.43,HIPERMERCADOS,2015,9
09-2015,CHAMPIÑONES+O.SETAS,399.47,1451.57,3.63,4.21,HIPERMERCADOS,2015,9
09-2015,LECHUGA/ESC./ENDIVIA,1081.24,3158.34,2.92,9.59,HIPERMERCADOS,2015,9
09-2015,ESPARRAGOS,142.17,338.01,2.38,0.66,HIPERMERCADOS,2015,9
09-2015,VERDURAS DE HOJA,185.09,686.05,3.71,2.01,HIPERMERCADOS,2015,9
09-2015,BERENJENAS,355.59,627.95,1.77,3.06,HIPERMERCADOS,2015,9
09-2015,ZANAHORIAS,1234.84,991.23,0.08,6.57,HIPERMERCADOS,2015,9
09-2015,CALABACINES,1308.01,1567.65,0.12,6.24,HIPERMERCADOS,2015,9
09-2015,OTR.HORTALIZAS/VERD.,2471.57,6054.26,2.45,12.57,HIPERMERCADOS,2015,9
09-2015,VERD./HORT. IV GAMA,865.55,4081.41,4.72,8.15,HIPERMERCADOS,2015,9
10-2015,TOTAL PATATAS,11676.38,10403.22,0.89,15.84,HIPERMERCADOS,2015,10
10-2015,PATATAS FRESCAS,6358.44,4796.36,0.75,8.31,HIPERMERCADOS,2015,10
10-2015,PATATAS CONGELADAS,496.9,681.01,1.37,1.91,HIPERMERCADOS,2015,10
10-2015,PATATAS PROCESADAS,964.21,4925.85,5.11,9.87,HIPERMERCADOS,2015,10
10-2015,T.HORTALIZAS FRESCAS,16823.45,31885.15,0.19,27.35,HIPERMERCADOS,2015,10
10-2015,TOMATES,3373.25,6456.11,1.91,12.48,HIPERMERCADOS,2015,10
10-2015,CEBOLLAS,2455.89,2593.88,1.06,0.98,HIPERMERCADOS,2015,10
10-2015,AJOS,207.81,970.45,4.67,3.31,HIPERMERCADOS,2015,10
10-2015,COLES,495.44,547.07,0.11,1.96,HIPERMERCADOS,2015,10
10-2015,PEPINOS,648.5,703.2,1.08,3.76,HIPERMERCADOS,2015,10
10-2015,JUDIAS VERDES,350.5,1177.94,3.36,2.35,HIPERMERCADOS,2015,10
10-2015,PIMIENTOS,1206.97,2357.23,1.95,8.53,HIPERMERCADOS,2015,10
10-2015,CHAMPIÑONES+O.SETAS,450.29,1748.18,3.88,4.71,HIPERMERCADOS,2015,10
10-2015,LECHUGA/ESC./ENDIVIA,1220.02,3808.73,3.12,9.43,HIPERMERCADOS,2015,10
10-2015,ESPARRAGOS,61.34,334.3,5.45,0.85,HIPERMERCADOS,2015,10
10-2015,VERDURAS DE HOJA,221.2,804.59,3.64,2.53,HIPERMERCADOS,2015,10
10-2015,BERENJENAS,485.88,687.15,1.41,3.87,HIPERMERCADOS,2015,10
10-2015,ZANAHORIAS,1394.68,1142.31,0.82,7.21,HIPERMERCADOS,2015,10
10-2015,CALABACINES,1372.86,1873.73,1.36,6.73,HIPERMERCADOS,2015,10
10-2015,OTR.HORTALIZAS/VERD.,2878.81,6680.27,2.32,13.99,HIPERMERCADOS,2015,10
10-2015,VERD./HORT. IV GAMA,1035.62,4619.65,4.46,8.85,HIPERMERCADOS,2015,10
11-2015,TOTAL PATATAS,12180.66,10597.25,0.87,15.34,HIPERMERCADOS,2015,11
11-2015,PATATAS FRESCAS,6962.3,5024.57,0.72,0.78,HIPERMERCADOS,2015,11
11-2015,PATATAS CONGELADAS,361.4,500.78,1.39,1.43,HIPERMERCADOS,2015,11
11-2015,PATATAS PROCESADAS,971.39,5071.9,5.22,9.69,HIPERMERCADOS,2015,11
11-2015,T.HORTALIZAS FRESCAS,16107.23,29165.66,1.81,26.55,HIPERMERCADOS,2015,11
11-2015,TOMATES,3643.55,5890.56,1.62,12.53,HIPERMERCADOS,2015,11
11-2015,CEBOLLAS,2081.83,2163.8,1.04,8.38,HIPERMERCADOS,2015,11
11-2015,AJOS,202.44,871.45,0.43,3.07,HIPERMERCADOS,2015,11
11-2015,COLES,443.04,482.5,1.09,1.85,HIPERMERCADOS,2015,11
11-2015,PEPINOS,512.14,626.86,1.22,3.06,HIPERMERCADOS,2015,11
11-2015,JUDIAS VERDES,323.1,1019.57,3.16,2.02,HIPERMERCADOS,2015,11
11-2015,PIMIENTOS,1316.23,2365.93,0.18,7.96,HIPERMERCADOS,2015,11
11-2015,CHAMPIÑONES+O.SETAS,484.9,1774.65,3.66,4.64,HIPERMERCADOS,2015,11
11-2015,LECHUGA/ESC./ENDIVIA,1086.14,3084.76,2.84,7.91,HIPERMERCADOS,2015,11
11-2015,ESPARRAGOS,50.71,303.04,5.98,0.64,HIPERMERCADOS,2015,11
11-2015,VERDURAS DE HOJA,189.88,590.54,3.11,2.11,HIPERMERCADOS,2015,11
11-2015,BERENJENAS,436.37,561.62,1.29,2.96,HIPERMERCADOS,2015,11
11-2015,ZANAHORIAS,1271.71,1102.89,0.87,0.07,HIPERMERCADOS,2015,11
11-2015,CALABACINES,1181.62,1911.23,1.62,6.17,HIPERMERCADOS,2015,11
11-2015,OTR.HORTALIZAS/VERD.,2883.56,6416.26,2.23,13.06,HIPERMERCADOS,2015,11
11-2015,VERD./HORT. IV GAMA,1028.31,4021.5,3.91,8.15,HIPERMERCADOS,2015,11
12-2015,TOTAL PATATAS,13400.14,12429.54,0.93,17.57,HIPERMERCADOS,2015,12
12-2015,PATATAS FRESCAS,7299.39,5430.04,0.74,9.48,HIPERMERCADOS,2015,12
12-2015,PATATAS CONGELADAS,461.95,564.07,1.22,1.44,HIPERMERCADOS,2015,12
12-2015,PATATAS PROCESADAS,1127.76,6435.43,5.71,11.45,HIPERMERCADOS,2015,12
12-2015,T.HORTALIZAS FRESCAS,16852.16,31354.19,1.86,2.92,HIPERMERCADOS,2015,12
12-2015,TOMATES,3517.15,5975.13,0.17,14.01,HIPERMERCADOS,2015,12
12-2015,CEBOLLAS,2654.27,2786.87,1.05,10.25,HIPERMERCADOS,2015,12
12-2015,AJOS,275.22,1268.36,4.61,3.83,HIPERMERCADOS,2015,12
12-2015,COLES,486.87,574.07,1.18,0.25,HIPERMERCADOS,2015,12
