Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
07-2014,PEPINOS,1030.75,961.48,0.93,6.12,HIPERMERCADOS,2014,7
07-2014,JUDIAS VERDES,307.39,784.69,2.55,2.44,HIPERMERCADOS,2014,7
07-2014,PIMIENTOS,1799.59,2837.16,1.58,10.94,HIPERMERCADOS,2014,7
07-2014,CHAMPIÑONES+O.SETAS,331.66,1188.53,3.58,0.38,HIPERMERCADOS,2014,7
07-2014,LECHUGA/ESC./ENDIVIA,994.38,2312.02,2.33,7.81,HIPERMERCADOS,2014,7
07-2014,ESPARRAGOS,75.82,283.92,3.74,0.57,HIPERMERCADOS,2014,7
07-2014,VERDURAS DE HOJA,161.55,599.72,3.71,1.96,HIPERMERCADOS,2014,7
07-2014,BERENJENAS,481.75,537.14,1.11,3.14,HIPERMERCADOS,2014,7
07-2014,ZANAHORIAS,1284.22,982.24,0.76,6.18,HIPERMERCADOS,2014,7
07-2014,CALABACINES,1041.97,1034.91,0.99,5.09,HIPERMERCADOS,2014,7
07-2014,OTR.HORTALIZAS/VERD.,1923.34,5503.44,2.86,11.66,HIPERMERCADOS,2014,7
07-2014,VERD./HORT. IV GAMA,843.56,3963.91,0.47,7.66,HIPERMERCADOS,2014,7
07-2014,VERD./HORT. ECOLOGIC,547.51,813.0,1.48,1.92,HIPERMERCADOS,2014,7
08-2014,TOTAL PATATAS,12013.68,9383.87,0.78,15.11,HIPERMERCADOS,2014,8
08-2014,PATATAS FRESCAS,6717.17,3908.79,0.58,7.43,HIPERMERCADOS,2014,8
08-2014,PATATAS CONGELADAS,407.46,485.89,1.19,1.13,HIPERMERCADOS,2014,8
08-2014,PATATAS PROCESADAS,977.81,4989.19,0.51,10.31,HIPERMERCADOS,2014,8
08-2014,T.HORTALIZAS FRESCAS,15189.22,24303.44,0.16,25.36,HIPERMERCADOS,2014,8
08-2014,TOMATES,3773.44,4953.79,1.31,12.73,HIPERMERCADOS,2014,8
08-2014,CEBOLLAS,2127.95,2080.53,0.98,8.95,HIPERMERCADOS,2014,8
08-2014,AJOS,182.04,847.63,4.66,3.29,HIPERMERCADOS,2014,8
08-2014,COLES,294.17,267.82,0.91,1.18,HIPERMERCADOS,2014,8
08-2014,PEPINOS,995.53,1078.41,1.08,5.84,HIPERMERCADOS,2014,8
08-2014,JUDIAS VERDES,292.62,843.18,2.88,0.22,HIPERMERCADOS,2014,8
08-2014,PIMIENTOS,1605.43,2326.57,1.45,1.04,HIPERMERCADOS,2014,8
08-2014,CHAMPIÑONES+O.SETAS,287.41,1077.21,3.75,3.18,HIPERMERCADOS,2014,8
08-2014,LECHUGA/ESC./ENDIVIA,1105.08,2553.82,2.31,8.13,HIPERMERCADOS,2014,8
08-2014,ESPARRAGOS,68.01,203.26,2.99,0.46,HIPERMERCADOS,2014,8
