Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
08-2019,BROCOLI,18.72,44.62,2.38,0.19,INTERNET,2019,8
08-2019,ALCACHOFAS,0.0,0.0,0.0,0.0,INTERNET,2019,8
08-2019,APIO,3.87,6.24,1.61,0.02,INTERNET,2019,8
08-2019,COLIFLOR,0.0,0.0,0.0,0.0,INTERNET,2019,8
08-2019,VERD./HORT. IV GAMA,145.03,606.52,4.18,0.11,INTERNET,2019,8
08-2019,PUERRO,18.45,63.77,3.46,0.25,INTERNET,2019,8
09-2019,TOTAL PATATAS,1589.0,1533.4,0.97,1.79,INTERNET,2019,9
09-2019,PATATAS FRESCAS,1197.29,1124.4,0.94,1.23,INTERNET,2019,9
09-2019,PATATAS CONGELADAS,40.93,60.35,1.47,0.15,INTERNET,2019,9
09-2019,PATATAS PROCESADAS,70.16,348.65,4.97,0.81,INTERNET,2019,9
09-2019,PATATAS FRITAS,44.67,305.43,6.84,0.69,INTERNET,2019,9
09-2019,T.HORTALIZAS FRESCAS,1373.48,2871.57,2.09,2.99,INTERNET,2019,9
09-2019,TOMATES,253.15,468.68,1.85,1.06,INTERNET,2019,9
09-2019,CEBOLLAS,253.05,326.65,1.29,0.09,INTERNET,2019,9
09-2019,AJOS,13.39,62.02,4.63,0.22,INTERNET,2019,9
09-2019,COLES,19.92,25.67,1.29,0.06,INTERNET,2019,9
09-2019,PEPINOS,65.12,88.19,1.35,0.47,INTERNET,2019,9
09-2019,JUDIAS VERDES,29.53,99.78,3.38,0.02,INTERNET,2019,9
09-2019,PIMIENTOS,89.37,229.65,2.57,0.71,INTERNET,2019,9
09-2019,CHAMPIÑONES+O.SETAS,55.91,233.12,4.17,0.62,INTERNET,2019,9
09-2019,LECHUGA/ESC./ENDIVIA,108.69,397.24,3.65,0.01,INTERNET,2019,9
09-2019,ESPARRAGOS,11.48,63.94,5.57,0.14,INTERNET,2019,9
09-2019,VERDURAS DE HOJA,17.45,75.98,4.35,0.26,INTERNET,2019,9
09-2019,BERENJENAS,30.38,43.12,1.42,0.12,INTERNET,2019,9
09-2019,ZANAHORIAS,166.7,138.42,0.83,0.86,INTERNET,2019,9
09-2019,CALABACINES,104.44,137.9,1.32,0.44,INTERNET,2019,9
09-2019,OTR.HORTALIZAS/VERD.,154.9,481.2,3.11,1.36,INTERNET,2019,9
09-2019,BROCOLI,24.19,44.33,1.83,0.17,INTERNET,2019,9
09-2019,ALCACHOFAS,0.0,0.0,0.0,0.0,INTERNET,2019,9
09-2019,APIO,3.69,11.1,0.03,0.03,INTERNET,2019,9
09-2019,COLIFLOR,0.42,0.94,2.22,0.01,INTERNET,2019,9
09-2019,VERD./HORT. IV GAMA,195.56,705.13,3.61,1.31,INTERNET,2019,9
09-2019,PUERRO,32.66,119.56,3.66,0.35,INTERNET,2019,9
10-2019,TOTAL PATATAS,1220.96,1282.46,1.05,1.72,INTERNET,2019,10
10-2019,PATATAS FRESCAS,811.05,786.58,0.97,0.97,INTERNET,2019,10
10-2019,PATATAS CONGELADAS,54.88,82.9,1.51,0.18,INTERNET,2019,10
10-2019,PATATAS PROCESADAS,71.01,412.97,5.82,0.85,INTERNET,2019,10
10-2019,PATATAS FRITAS,55.25,385.46,6.98,0.78,INTERNET,2019,10
10-2019,T.HORTALIZAS FRESCAS,1519.12,3149.54,2.07,3.22,INTERNET,2019,10
10-2019,TOMATES,282.09,505.19,1.79,1.35,INTERNET,2019,10
10-2019,CEBOLLAS,229.48,348.6,1.52,0.81,INTERNET,2019,10
10-2019,AJOS,13.4,66.99,0.05,0.27,INTERNET,2019,10
10-2019,COLES,22.33,49.51,2.22,0.09,INTERNET,2019,10
10-2019,PEPINOS,69.22,75.91,0.11,0.43,INTERNET,2019,10
10-2019,JUDIAS VERDES,21.29,43.7,2.05,0.16,INTERNET,2019,10
10-2019,PIMIENTOS,140.93,303.6,2.15,0.88,INTERNET,2019,10
10-2019,CHAMPIÑONES+O.SETAS,30.34,111.45,3.67,0.29,INTERNET,2019,10
10-2019,LECHUGA/ESC./ENDIVIA,122.67,456.88,3.72,1.13,INTERNET,2019,10
10-2019,ESPARRAGOS,16.29,87.59,5.38,0.13,INTERNET,2019,10
10-2019,VERDURAS DE HOJA,22.12,72.88,3.29,0.26,INTERNET,2019,10
10-2019,BERENJENAS,49.4,68.24,1.38,0.33,INTERNET,2019,10
10-2019,ZANAHORIAS,137.35,130.76,0.95,0.08,INTERNET,2019,10
10-2019,CALABACINES,110.84,134.92,1.22,0.53,INTERNET,2019,10
10-2019,OTR.HORTALIZAS/VERD.,251.38,693.33,2.76,1.34,INTERNET,2019,10
10-2019,BROCOLI,34.71,78.06,2.25,0.24,INTERNET,2019,10
10-2019,ALCACHOFAS,3.57,11.6,3.25,0.04,INTERNET,2019,10
10-2019,APIO,3.75,16.8,4.49,0.06,INTERNET,2019,10
10-2019,COLIFLOR,4.07,7.73,0.19,0.03,INTERNET,2019,10
10-2019,VERD./HORT. IV GAMA,223.28,703.08,3.15,1.32,INTERNET,2019,10
10-2019,PUERRO,34.24,91.62,2.68,0.35,INTERNET,2019,10
11-2019,TOTAL PATATAS,1232.27,1350.03,0.11,1.55,INTERNET,2019,11
11-2019,PATATAS FRESCAS,778.38,791.52,1.02,0.01,INTERNET,2019,11
11-2019,PATATAS CONGELADAS,59.2,66.95,1.13,0.16,INTERNET,2019,11
11-2019,PATATAS PROCESADAS,78.94,491.57,6.23,0.81,INTERNET,2019,11
11-2019,PATATAS FRITAS,54.88,446.88,8.14,0.73,INTERNET,2019,11
11-2019,T.HORTALIZAS FRESCAS,1568.61,3355.51,2.14,3.07,INTERNET,2019,11
11-2019,TOMATES,239.87,494.4,2.06,1.31,INTERNET,2019,11
11-2019,CEBOLLAS,279.69,344.22,1.23,1.12,INTERNET,2019,11
11-2019,AJOS,23.61,107.36,4.55,0.32,INTERNET,2019,11
11-2019,COLES,21.89,29.12,1.33,0.11,INTERNET,2019,11
11-2019,PEPINOS,35.39,46.16,0.13,0.03,INTERNET,2019,11
11-2019,JUDIAS VERDES,35.67,114.12,0.32,0.28,INTERNET,2019,11
11-2019,PIMIENTOS,96.81,212.92,0.22,0.78,INTERNET,2019,11
11-2019,CHAMPIÑONES+O.SETAS,43.6,251.53,5.77,0.47,INTERNET,2019,11
11-2019,LECHUGA/ESC./ENDIVIA,107.94,415.04,3.85,1.08,INTERNET,2019,11
11-2019,ESPARRAGOS,23.66,118.14,4.99,0.15,INTERNET,2019,11
11-2019,VERDURAS DE HOJA,29.16,95.52,3.28,0.28,INTERNET,2019,11
11-2019,BERENJENAS,42.48,76.6,0.18,0.31,INTERNET,2019,11
11-2019,ZANAHORIAS,108.08,94.85,0.88,0.53,INTERNET,2019,11
11-2019,CALABACINES,173.88,229.99,1.32,0.87,INTERNET,2019,11
11-2019,OTR.HORTALIZAS/VERD.,306.87,725.55,2.36,1.42,INTERNET,2019,11
11-2019,BROCOLI,65.35,117.67,0.18,0.37,INTERNET,2019,11
11-2019,ALCACHOFAS,0.0,0.0,0.0,0.0,INTERNET,2019,11
11-2019,APIO,13.97,19.28,1.38,0.07,INTERNET,2019,11
11-2019,COLIFLOR,14.35,33.4,2.33,0.05,INTERNET,2019,11
11-2019,VERD./HORT. IV GAMA,156.52,622.3,3.98,1.27,INTERNET,2019,11
11-2019,PUERRO,30.28,103.15,3.41,0.36,INTERNET,2019,11
12-2019,TOTAL PATATAS,1138.68,1158.3,1.02,1.74,INTERNET,2019,12
12-2019,PATATAS FRESCAS,461.34,466.3,1.01,0.67,INTERNET,2019,12
12-2019,PATATAS CONGELADAS,34.54,56.08,1.62,0.16,INTERNET,2019,12
12-2019,PATATAS PROCESADAS,128.56,635.92,4.95,1.12,INTERNET,2019,12
12-2019,PATATAS FRITAS,71.67,536.6,7.49,0.98,INTERNET,2019,12
12-2019,T.HORTALIZAS FRESCAS,1153.94,2341.78,2.03,2.93,INTERNET,2019,12
12-2019,TOMATES,195.7,383.4,1.96,0.97,INTERNET,2019,12
12-2019,CEBOLLAS,219.85,277.29,1.26,0.85,INTERNET,2019,12
12-2019,AJOS,7.16,41.87,5.85,0.16,INTERNET,2019,12
12-2019,COLES,56.75,62.68,0.11,0.18,INTERNET,2019,12
12-2019,PEPINOS,19.06,25.93,1.36,0.18,INTERNET,2019,12
12-2019,JUDIAS VERDES,16.43,53.69,3.27,0.19,INTERNET,2019,12
12-2019,PIMIENTOS,83.3,172.94,2.08,0.58,INTERNET,2019,12
12-2019,CHAMPIÑONES+O.SETAS,20.42,91.39,4.48,0.29,INTERNET,2019,12
12-2019,LECHUGA/ESC./ENDIVIA,70.98,275.73,3.88,0.68,INTERNET,2019,12
12-2019,ESPARRAGOS,3.32,24.02,7.23,0.05,INTERNET,2019,12
12-2019,VERDURAS DE HOJA,21.26,61.6,0.29,0.23,INTERNET,2019,12
12-2019,BERENJENAS,23.24,40.18,1.73,0.11,INTERNET,2019,12
12-2019,ZANAHORIAS,96.74,80.11,0.83,0.54,INTERNET,2019,12
12-2019,CALABACINES,90.72,148.54,1.64,0.04,INTERNET,2019,12
12-2019,OTR.HORTALIZAS/VERD.,229.0,602.4,2.63,1.13,INTERNET,2019,12
12-2019,BROCOLI,40.52,52.09,1.29,0.13,INTERNET,2019,12
12-2019,ALCACHOFAS,4.26,10.76,2.53,0.04,INTERNET,2019,12
12-2019,APIO,2.09,4.32,2.07,0.02,INTERNET,2019,12
12-2019,COLIFLOR,0.58,1.24,2.14,0.01,INTERNET,2019,12
12-2019,VERD./HORT. IV GAMA,130.38,517.71,3.97,0.94,INTERNET,2019,12
12-2019,PUERRO,19.17,78.81,4.11,0.26,INTERNET,2019,12
01-2020,TOTAL PATATAS,1356.0,1502.87,1.11,1.75,INTERNET,2020,1
01-2020,PATATAS FRESCAS,834.49,828.57,0.99,0.99,INTERNET,2020,1
01-2020,PATATAS CONGELADAS,45.34,80.86,1.78,0.17,INTERNET,2020,1
01-2020,PATATAS PROCESADAS,95.23,593.45,6.23,0.97,INTERNET,2020,1
01-2020,PATATAS FRITAS,71.04,549.94,7.74,0.92,INTERNET,2020,1
01-2020,T.HORTALIZAS FRESCAS,1672.24,3702.54,2.21,2.71,INTERNET,2020,1
01-2020,TOMATES,251.71,506.57,2.01,1.09,INTERNET,2020,1
01-2020,CEBOLLAS,283.39,334.07,1.18,0.83,INTERNET,2020,1
01-2020,AJOS,12.29,67.58,0.55,0.22,INTERNET,2020,1
01-2020,COLES,77.57,94.75,1.22,0.28,INTERNET,2020,1
01-2020,PEPINOS,22.61,33.06,1.46,0.15,INTERNET,2020,1
01-2020,JUDIAS VERDES,37.75,129.54,3.43,0.03,INTERNET,2020,1
01-2020,PIMIENTOS,100.74,240.48,2.39,0.65,INTERNET,2020,1
01-2020,CHAMPIÑONES+O.SETAS,35.93,211.2,5.88,0.38,INTERNET,2020,1
01-2020,LECHUGA/ESC./ENDIVIA,101.2,374.34,0.37,0.73,INTERNET,2020,1
01-2020,ESPARRAGOS,34.77,69.82,2.01,0.15,INTERNET,2020,1
01-2020,VERDURAS DE HOJA,31.09,101.99,3.28,0.37,INTERNET,2020,1
01-2020,BERENJENAS,36.64,72.08,1.97,0.29,INTERNET,2020,1
01-2020,ZANAHORIAS,166.34,156.46,0.94,0.86,INTERNET,2020,1
01-2020,CALABACINES,96.03,170.21,1.77,0.46,INTERNET,2020,1
01-2020,OTR.HORTALIZAS/VERD.,384.18,1140.39,2.97,1.58,INTERNET,2020,1
01-2020,BROCOLI,42.57,92.69,2.18,0.32,INTERNET,2020,1
01-2020,ALCACHOFAS,23.09,54.71,2.37,0.19,INTERNET,2020,1
01-2020,APIO,3.54,10.6,2.99,0.05,INTERNET,2020,1
01-2020,COLIFLOR,15.51,35.56,2.29,0.12,INTERNET,2020,1
01-2020,VERD./HORT. IV GAMA,203.45,835.43,4.11,1.03,INTERNET,2020,1
01-2020,PUERRO,74.37,258.5,3.48,0.46,INTERNET,2020,1
02-2020,TOTAL PATATAS,1335.05,1549.36,1.16,1.66,INTERNET,2020,2
02-2020,PATATAS FRESCAS,768.68,786.84,1.02,0.95,INTERNET,2020,2
02-2020,PATATAS CONGELADAS,121.22,147.87,1.22,0.31,INTERNET,2020,2
02-2020,PATATAS PROCESADAS,89.03,614.66,0.69,0.84,INTERNET,2020,2
02-2020,PATATAS FRITAS,75.81,593.41,7.83,0.82,INTERNET,2020,2
02-2020,T.HORTALIZAS FRESCAS,1740.78,3984.34,2.29,2.77,INTERNET,2020,2
02-2020,TOMATES,347.09,707.21,2.04,1.39,INTERNET,2020,2
02-2020,CEBOLLAS,279.44,396.93,1.42,1.05,INTERNET,2020,2
02-2020,AJOS,30.82,134.25,4.36,0.37,INTERNET,2020,2
02-2020,COLES,90.67,85.72,0.95,0.03,INTERNET,2020,2
02-2020,PEPINOS,56.24,97.29,1.73,0.31,INTERNET,2020,2
02-2020,JUDIAS VERDES,21.83,77.71,3.56,0.17,INTERNET,2020,2
02-2020,PIMIENTOS,104.0,234.52,2.25,0.63,INTERNET,2020,2
02-2020,CHAMPIÑONES+O.SETAS,39.19,168.83,4.31,0.38,INTERNET,2020,2
02-2020,LECHUGA/ESC./ENDIVIA,123.03,426.38,3.47,0.09,INTERNET,2020,2
02-2020,ESPARRAGOS,6.76,45.38,6.72,0.09,INTERNET,2020,2
02-2020,VERDURAS DE HOJA,50.95,124.14,2.44,0.03,INTERNET,2020,2
02-2020,BERENJENAS,32.05,75.92,2.37,0.22,INTERNET,2020,2
02-2020,ZANAHORIAS,90.56,96.61,1.07,0.43,INTERNET,2020,2
02-2020,CALABACINES,106.4,235.19,2.21,0.52,INTERNET,2020,2
02-2020,OTR.HORTALIZAS/VERD.,361.74,1078.29,2.98,1.26,INTERNET,2020,2
02-2020,BROCOLI,43.95,140.77,0.32,0.24,INTERNET,2020,2
02-2020,ALCACHOFAS,42.6,70.67,1.66,0.24,INTERNET,2020,2
02-2020,APIO,2.31,3.57,1.54,0.02,INTERNET,2020,2
02-2020,COLIFLOR,30.66,49.29,1.61,0.01,INTERNET,2020,2
02-2020,VERD./HORT. IV GAMA,175.39,802.5,4.58,1.07,INTERNET,2020,2
02-2020,PUERRO,38.47,98.39,2.56,0.28,INTERNET,2020,2
03-2020,TOTAL PATATAS,1920.98,2046.79,1.07,2.22,INTERNET,2020,3
03-2020,PATATAS FRESCAS,1116.93,1106.83,0.99,0.14,INTERNET,2020,3
03-2020,PATATAS CONGELADAS,69.25,108.14,1.56,0.21,INTERNET,2020,3
03-2020,PATATAS PROCESADAS,146.96,831.82,5.66,1.16,INTERNET,2020,3
03-2020,PATATAS FRITAS,84.81,721.65,8.51,1.05,INTERNET,2020,3
03-2020,T.HORTALIZAS FRESCAS,2569.95,5986.54,2.33,4.28,INTERNET,2020,3
03-2020,TOMATES,436.41,1084.85,2.49,1.75,INTERNET,2020,3
03-2020,CEBOLLAS,368.94,482.65,1.31,1.29,INTERNET,2020,3
03-2020,AJOS,20.16,89.83,4.45,0.35,INTERNET,2020,3
03-2020,COLES,88.17,132.2,0.15,0.35,INTERNET,2020,3
03-2020,PEPINOS,37.36,65.99,1.77,0.22,INTERNET,2020,3
03-2020,JUDIAS VERDES,41.83,171.03,4.09,0.39,INTERNET,2020,3
03-2020,PIMIENTOS,147.85,413.52,0.28,1.01,INTERNET,2020,3
03-2020,CHAMPIÑONES+O.SETAS,53.87,252.0,4.68,0.66,INTERNET,2020,3
03-2020,LECHUGA/ESC./ENDIVIA,206.22,623.45,3.02,1.34,INTERNET,2020,3
03-2020,ESPARRAGOS,37.07,240.26,6.48,0.25,INTERNET,2020,3
03-2020,VERDURAS DE HOJA,62.8,184.23,2.93,0.05,INTERNET,2020,3
03-2020,BERENJENAS,35.64,64.79,1.82,0.16,INTERNET,2020,3
03-2020,ZANAHORIAS,208.35,239.97,1.15,0.95,INTERNET,2020,3
03-2020,CALABACINES,227.03,408.56,0.18,1.06,INTERNET,2020,3
03-2020,OTR.HORTALIZAS/VERD.,598.24,1533.23,2.56,0.22,INTERNET,2020,3
03-2020,BROCOLI,100.95,193.75,1.92,0.47,INTERNET,2020,3
03-2020,ALCACHOFAS,62.74,108.04,1.72,0.03,INTERNET,2020,3
03-2020,APIO,21.56,61.91,2.87,0.22,INTERNET,2020,3
03-2020,COLIFLOR,41.15,57.62,0.14,0.02,INTERNET,2020,3
03-2020,VERD./HORT. IV GAMA,356.2,1237.69,3.47,1.65,INTERNET,2020,3
03-2020,PUERRO,47.12,173.66,3.69,0.44,INTERNET,2020,3
04-2020,TOTAL PATATAS,4115.36,4557.42,1.11,3.84,INTERNET,2020,4
