Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,166.76245,211.68527,127,7937,,,SUPERMERCADO,2014 ,Junio
NARANJAS,19.90969,16.81652,084,2326,,,SUPERMERCADO,2014 ,Junio
MANDARINAS,29738,39735,134,147,,,SUPERMERCADO,2014 ,Junio
LIMONES,3.36893,5.07056,151,1902,,,SUPERMERCADO,2014 ,Junio
PLATANOS,20.70493,27.05536,131,5146,,,SUPERMERCADO,2014 ,Junio
MANZANAS,12.97861,17.64471,136,3466,,,SUPERMERCADO,2014 ,Junio
PERAS,5.41981,7.83500,145,2145,,,SUPERMERCADO,2014 ,Junio
MELOCOTONES,7.05098,11.23877,159,2574,,,SUPERMERCADO,2014 ,Junio
ALBARICOQUES,3.67543,7.32762,199,1717,,,SUPERMERCADO,2014 ,Junio
FRESAS/FRESON,1.97128,4.19180,213,1156,,,SUPERMERCADO,2014 ,Junio
MELON,23.37766,20.20193,086,3316,,,SUPERMERCADO,2014 ,Junio
SANDIA,36.03928,24.39882,068,338,,,SUPERMERCADO,2014 ,Junio
CIRUELAS,1.00394,1.97063,196,704,,,SUPERMERCADO,2014 ,Junio
CEREZAS,7.78190,22.33068,287,2957,,,SUPERMERCADO,2014 ,Junio
UVAS,71107,1.97884,278,378,,,SUPERMERCADO,2014 ,Junio
KIWI,3.95601,11.30484,286,1615,,,SUPERMERCADO,2014 ,Junio
AGUACATE,1.19290,3.39898,285,838,,,SUPERMERCADO,2014 ,Junio
PIÑA,4.19208,4.99380,119,1157,,,SUPERMERCADO,2014 ,Junio
OTRAS FRUTAS FRESCAS,13.13059,23.52907,179,354,,,SUPERMERCADO,2014 ,Junio
FRUTAS IV GAMA,4.37904,6.10837,139,9,,,SUPERMERCADO,2014 ,Junio
FRUTAS ECOLOGICAS,8.33294,11.23371,135,1075,,,SUPERMERCADO,2014 ,Junio
