Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,139.55154,237.69310,17,8368,,,SUPERMERCADO,2019 ,Diciembre
NARANJAS,25.65276,25.48866,099,2901,,,SUPERMERCADO,2019 ,Diciembre
MANDARINAS,17.40728,25.13645,144,3687,,,SUPERMERCADO,2019 ,Diciembre
LIMONES,4.51006,7.88355,175,2443,,,SUPERMERCADO,2019 ,Diciembre
PLATANOS,27.14239,45.66150,168,5932,,,SUPERMERCADO,2019 ,Diciembre
MANZANAS,15.63022,23.93562,153,3837,,,SUPERMERCADO,2019 ,Diciembre
PERAS,7.40980,11.64085,157,2602,,,SUPERMERCADO,2019 ,Diciembre
MELOCOTONES,5581,15616,28,049,,,SUPERMERCADO,2019 ,Diciembre
NECTARINAS,15526,27430,177,061,,,SUPERMERCADO,2019 ,Diciembre
ALBARICOQUES,10157,28927,285,048,,,SUPERMERCADO,2019 ,Diciembre
FRESAS/FRESON,50418,2.70766,537,307,,,SUPERMERCADO,2019 ,Diciembre
MELON,3.94682,6.59534,167,768,,,SUPERMERCADO,2019 ,Diciembre
SANDIA,11019,23253,211,029,,,SUPERMERCADO,2019 ,Diciembre
CIRUELAS,35006,60703,173,24,,,SUPERMERCADO,2019 ,Diciembre
CEREZAS,2945,13084,444,035,,,SUPERMERCADO,2019 ,Diciembre
UVAS,5.38193,15.87512,295,2784,,,SUPERMERCADO,2019 ,Diciembre
KIWI,5.09721,16.85889,331,228,,,SUPERMERCADO,2019 ,Diciembre
AGUACATE,3.08992,11.32998,367,2015,,,SUPERMERCADO,2019 ,Diciembre
PIÑA,11.18128,13.52558,121,2505,,,SUPERMERCADO,2019 ,Diciembre
OTRAS FRUTAS FRESCAS,11.79535,29.36378,249,3563,,,SUPERMERCADO,2019 ,Diciembre
POMELO,30881,67052,217,127,,,SUPERMERCADO,2019 ,Diciembre
CHIRIMOYA,000,000,0,0,,,SUPERMERCADO,2019 ,Diciembre
MANGO,1.91027,4.83445,253,852,,,SUPERMERCADO,2019 ,Diciembre
FRUTAS IV GAMA,6.44113,13.33686,207,1865,,,SUPERMERCADO,2019 ,Diciembre
