NOMBRE ESTACIÓN,VARIABLE,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
San Pablo de los Montes (Toledo),SO2,0.19,0.31,0.38,0.27,0.48,0.72,0.75,0.6,0.53,0.64,0.32,0.31,0.46
San Pablo de los Montes (Toledo),O3,73.0,81.0,92.0,95.0,91.0,97.0,101.0,97.0,74.0,80.0,70.0,67.0,85.0
San Pablo de los Montes (Toledo),NO,0.15,0.12,0.1,0.08,0.09,0.06,0.1,0.08,0.13,0.16,0.12,0.16,0.11
San Pablo de los Montes (Toledo),NO2,1.48,1.1,0.92,0.81,0.89,0.54,1.11,1.15,1.19,1.19,0.83,1.61,1.7
Noia (A Coruña),SO2,1.15,1.19,0.98,0.85,0.84,0.78,0.78,0.82,0.93,0.71,0.85,0.65,0.88
Noia (A Coruña),O3,63.0,72.0,75.0,71.0,64.0,55.0,54.0,54.0,57.0,52.0,54.0,58.0,61.0
Noia (A Coruña),NO,0.22,0.22,0.16,0.14,0.15,0.16,0.18,0.21,0.25,0.16,0.12,0.14,0.17
Noia (A Coruña),NO2,2.66,3.03,3.19,4.65,3.27,3.75,3.19,1.97,3.34,4.59,3.47,3.53,3.39
Mahón (Islas Baleares),SO2,0.52,0.45,0.43,0.38,0.51,0.46,0.55,0.46,0.51,0.55,0.47,0.39,0.47
Mahón (Islas Baleares),O3,72.0,85.0,92.0,96.0,90.0,88.0,91.0,86.0,90.0,80.0,68.0,62.0,84.0
Mahón (Islas Baleares),NO,0.37,0.21,0.2,0.24,0.19,0.19,0.28,0.28,0.28,0.24,0.52,0.41,0.29
Mahón (Islas Baleares),NO2,4.49,2.78,2.74,3.07,2.24,2.05,3.03,3.06,2.6,2.82,4.72,4.71,3.19
Víznar (Granada),SO2,0.73,0.65,0.62,0.71,0.99,1.3,1.37,1.21,0.95,1.02,0.96,0.91,0.95
Víznar (Granada),O3,74.0,82.0,91.0,98.0,102.0,101.0,101.0,102.0,91.0,80.0,61.0,66.0,88.0
Víznar (Granada),NO,0.88,1.03,0.68,0.57,0.77,0.74,0.71,0.79,0.6,1.21,0.49,0.68,0.76
Víznar (Granada),NO2,4.3,4.71,3.29,3.5,3.21,4.23,3.78,3.6,3.48,5.23,4.23,3.92,3.95
Niembro-Llanes (Asturias),SO2,0.63,1.24,0.58,0.37,0.44,0.4,0.0,0.0,0.0,0.0,0.64,0.95,0.0
Niembro-Llanes (Asturias),O3,85.0,83.0,86.0,90.0,79.0,72.0,0.0,0.0,0.0,0.0,71.0,69.0,0.0
Niembro-Llanes (Asturias),NO,0.49,0.88,0.36,0.24,0.36,0.33,0.0,0.0,0.0,0.0,0.64,0.68,0.0
Niembro-Llanes (Asturias),NO2,2.97,3.25,1.78,1.7,1.84,1.4,0.0,0.0,0.0,0.0,1.99,2.51,0.0
Campisábalos (Guadalajara),SO2,0.92,0.68,0.37,0.22,0.32,0.8,0.51,0.38,0.38,0.39,0.36,0.5,0.48
Campisábalos (Guadalajara),O3,66.0,70.0,81.0,92.0,80.0,91.0,92.0,80.0,69.0,59.0,66.0,62.0,76.0
Campisábalos (Guadalajara),NO,0.09,0.08,0.1,0.16,0.15,0.15,0.16,0.19,0.16,0.13,0.24,0.25,0.16
Campisábalos (Guadalajara),NO2,1.63,2.55,2.44,2.19,1.32,1.8,2.19,2.36,1.84,0.8,1.28,1.24,1.82
Cabo de Creus (Girona),SO2,0.53,0.53,0.53,0.52,0.52,0.55,0.43,0.44,0.43,0.51,0.69,0.75,0.54
Cabo de Creus (Girona),O3,60.0,76.0,87.0,97.0,83.0,83.0,84.0,80.0,80.0,68.0,63.0,61.0,77.0
Cabo de Creus (Girona),NO,0.29,0.29,0.24,0.31,0.24,0.45,0.51,0.62,0.44,0.25,0.26,0.24,0.35
Cabo de Creus (Girona),NO2,2.95,4.25,3.01,2.87,2.15,2.79,3.03,3.43,3.41,2.96,3.27,3.29,3.11
Barcarrota (Badajoz),SO2,0.13,0.3,0.33,0.24,0.26,0.34,0.58,0.46,0.47,0.41,0.29,0.17,0.33
Barcarrota (Badajoz),O3,46.0,58.0,65.0,71.0,72.0,78.0,79.0,71.0,72.0,52.0,54.0,47.0,64.0
Barcarrota (Badajoz),NO,0.16,0.19,0.33,0.36,0.39,0.24,0.43,0.87,0.93,0.74,0.37,0.22,0.44
Barcarrota (Badajoz),NO2,1.53,1.27,1.67,2.27,2.78,1.65,2.44,3.42,4.74,4.53,2.96,1.36,2.56
Zarra (Valencia),SO2,0.66,0.71,0.74,0.75,0.83,1.0,0.91,0.88,0.73,0.87,0.95,1.02,0.84
Zarra (Valencia),O3,73.0,90.0,100.0,99.0,96.0,109.0,112.0,93.0,90.0,78.0,67.0,65.0,89.0
Zarra (Valencia),NO,0.16,0.12,0.1,0.11,0.12,0.13,0.14,0.15,0.15,0.16,0.14,0.13,0.13
Zarra (Valencia),NO2,3.54,3.19,2.97,2.06,1.72,1.94,2.29,2.13,2.18,2.45,1.81,2.19,2.37
Peñausende (Zamora),SO2,0.26,0.32,0.34,0.25,0.28,0.33,0.31,0.19,0.19,0.21,0.24,0.22,0.26
Peñausende (Zamora),O3,54.0,71.0,76.0,86.0,83.0,85.0,89.0,82.0,73.0,67.0,61.0,60.0,74.0
Peñausende (Zamora),NO,0.16,0.1,0.08,0.06,0.06,0.08,0.11,0.16,0.17,0.12,0.07,0.11,0.11
Peñausende (Zamora),NO2,2.11,1.51,1.19,0.73,0.8,1.21,1.92,1.54,1.69,1.44,0.75,1.03,1.33
Els Torms (Lleida),SO2,0.69,0.89,0.94,0.68,0.74,1.3,0.99,0.92,0.88,0.7,0.64,0.54,0.82
Els Torms (Lleida),O3,55.0,74.0,88.0,91.0,88.0,99.0,101.0,89.0,83.0,67.0,63.0,51.0,79.0
Els Torms (Lleida),NO,0.28,0.19,0.16,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.1,0.19,0.17
Els Torms (Lleida),NO2,3.86,3.61,2.58,2.05,1.28,1.5,1.67,1.84,2.07,2.21,1.86,3.57,2.34
O Saviñao (Lugo),SO2,0.6,0.55,0.61,0.52,0.66,0.57,0.65,0.44,0.32,0.47,0.36,0.61,0.53
O Saviñao (Lugo),O3,46.0,63.0,70.0,74.0,66.0,58.0,56.0,53.0,55.0,51.0,55.0,50.0,58.0
O Saviñao (Lugo),NO,0.39,0.31,0.38,0.45,0.31,0.18,0.2,0.2,0.13,0.2,0.15,0.15,0.25
O Saviñao (Lugo),NO2,3.71,2.94,2.52,1.85,2.05,2.73,3.1,2.07,1.7,1.42,1.23,2.08,2.26
Doñana (Huelva),SO2,0.47,0.6,0.42,0.47,0.82,0.86,0.5,0.61,0.53,0.52,0.62,0.49,0.58
Doñana (Huelva),O3,48.0,59.0,70.0,80.0,77.0,73.0,69.0,70.0,64.0,54.0,53.0,45.0,64.0
Doñana (Huelva),NO,0.43,0.33,0.25,0.27,0.31,0.28,0.27,0.3,0.46,0.61,0.42,0.52,0.37
Doñana (Huelva),NO2,4.83,4.04,3.35,2.54,2.66,2.43,2.87,3.67,4.75,5.87,3.9,5.07,3.83
