NOMBRE ESTACIÓN,VARIABLE,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
San Pablo de los Montes (Toledo),SO2,0.3,0.39,0.32,0.31,0.33,0.42,0.89,0.71,0.72,0.63,0.52,0.61,0.51
San Pablo de los Montes (Toledo),O3,71.0,67.0,78.0,77.0,85.0,89.0,103.0,92.0,92.0,76.0,62.0,64.0,80.0
San Pablo de los Montes (Toledo),NO,0.14,0.41,0.25,0.19,0.21,0.13,0.16,0.21,0.26,0.43,0.63,1.16,0.36
San Pablo de los Montes (Toledo),NO2,1.6,1.67,0.7,0.53,0.93,1.11,1.07,1.25,1.35,1.1,1.48,1.61,1.21
Noia (A Coruña),SO2,0.68,0.63,0.89,0.72,0.81,0.75,0.84,0.72,0.86,0.66,0.83,0.7,0.76
Noia (A Coruña),O3,56.0,55.0,58.0,56.0,56.0,45.0,50.0,51.0,69.0,58.0,57.0,59.0,56.0
Noia (A Coruña),NO,0.12,0.11,0.12,0.1,0.09,0.11,0.12,0.19,0.12,0.12,0.22,0.1,0.13
Noia (A Coruña),NO2,4.75,4.17,2.92,3.25,2.78,2.34,2.13,2.22,2.67,2.62,3.59,2.04,2.95
Mahón (Islas Baleares),SO2,0.33,0.39,0.39,0.44,0.48,0.45,0.43,0.49,0.53,0.52,0.54,0.52,0.46
Mahón (Islas Baleares),O3,72.0,76.0,85.0,95.0,81.0,76.0,85.0,77.0,89.0,73.0,75.0,67.0,79.0
Mahón (Islas Baleares),NO,0.35,0.44,0.26,0.18,0.25,0.17,0.33,0.29,0.4,0.45,0.26,0.53,0.33
Mahón (Islas Baleares),NO2,3.94,3.82,2.5,1.33,2.31,1.5,2.78,2.83,3.73,4.21,2.97,4.85,3.09
Víznar (Granada),SO2,1.06,0.95,1.01,0.56,0.73,0.96,1.35,1.55,1.37,1.26,1.18,1.26,1.11
Víznar (Granada),O3,71.0,77.0,80.0,76.0,88.0,84.0,100.0,94.0,86.0,77.0,68.0,63.0,80.0
Víznar (Granada),NO,1.05,0.6,0.33,0.38,0.41,0.49,0.51,0.43,0.76,0.94,0.71,1.38,0.67
Víznar (Granada),NO2,4.44,3.56,2.52,2.77,3.02,4.08,4.09,4.38,5.0,5.18,4.68,6.8,4.21
Niembro-Llanes (Asturias),SO2,0.99,0.93,0.58,0.48,0.57,0.48,0.29,0.23,0.44,0.34,0.37,0.4,0.5
Niembro-Llanes (Asturias),O3,66.0,69.0,81.0,81.0,78.0,72.0,69.0,66.0,78.0,74.0,69.0,74.0,73.0
Niembro-Llanes (Asturias),NO,0.59,0.67,0.37,0.47,0.49,0.39,0.38,0.5,0.47,0.38,0.56,0.44,0.47
Niembro-Llanes (Asturias),NO2,2.51,2.32,1.67,1.53,1.75,1.99,2.16,2.13,1.76,1.94,2.3,1.66,1.97
Campisábalos (Guadalajara),SO2,0.59,0.55,0.68,0.85,0.61,0.71,0.52,0.49,0.45,0.48,0.44,0.29,0.56
Campisábalos (Guadalajara),O3,64.0,62.0,75.0,76.0,78.0,77.0,84.0,81.0,81.0,65.0,57.0,67.0,72.0
Campisábalos (Guadalajara),NO,0.25,0.25,0.36,0.24,0.26,0.26,0.26,0.26,0.25,0.55,0.16,0.16,0.27
Campisábalos (Guadalajara),NO2,1.66,2.07,3.25,1.22,1.32,1.48,1.81,1.89,1.67,5.28,1.79,1.21,2.06
Cabo de Creus (Girona),SO2,0.82,0.83,0.69,0.63,0.61,0.62,0.7,0.62,0.61,0.65,0.6,0.62,0.67
Cabo de Creus (Girona),O3,62.0,70.0,81.0,93.0,88.0,76.0,77.0,79.0,85.0,67.0,62.0,57.0,75.0
Cabo de Creus (Girona),NO,0.23,0.28,0.16,0.11,0.17,0.28,0.55,0.58,0.47,0.33,0.21,0.24,0.3
Cabo de Creus (Girona),NO2,4.18,3.62,2.51,2.07,1.83,1.95,3.22,3.25,3.12,2.66,3.36,3.31,2.92
Barcarrota (Badajoz),SO2,0.18,0.23,0.28,0.32,0.31,0.36,0.32,0.21,0.18,0.24,0.23,0.37,0.27
Barcarrota (Badajoz),O3,49.0,45.0,61.0,58.0,61.0,68.0,88.0,70.0,73.0,56.0,47.0,48.0,60.0
Barcarrota (Badajoz),NO,0.12,0.13,0.13,0.09,0.09,0.09,0.15,0.16,0.53,0.33,0.21,0.17,0.18
Barcarrota (Badajoz),NO2,1.14,1.23,1.41,0.79,1.21,1.13,1.8,1.29,3.44,3.02,2.25,1.36,1.67
Zarra (Valencia),SO2,1.07,0.89,0.36,0.21,0.49,0.75,0.95,0.55,0.49,0.56,0.41,0.32,0.59
Zarra (Valencia),O3,66.0,64.0,74.0,87.0,84.0,84.0,88.0,86.0,86.0,72.0,64.0,58.0,76.0
Zarra (Valencia),NO,0.14,0.16,0.12,0.09,0.11,0.13,0.15,0.16,0.16,0.19,0.19,0.64,0.19
Zarra (Valencia),NO2,2.79,2.58,0.87,0.49,0.83,0.87,0.88,0.94,1.15,1.26,1.31,1.51,1.31
Peñausende (Zamora),SO2,0.16,0.16,0.29,0.19,0.16,0.17,0.21,0.21,0.26,0.26,0.26,0.15,0.21
Peñausende (Zamora),O3,58.0,59.0,70.0,69.0,76.0,73.0,81.0,72.0,77.0,66.0,55.0,59.0,68.0
Peñausende (Zamora),NO,0.13,0.14,0.18,0.15,0.19,0.11,0.14,0.27,0.13,0.15,0.19,0.07,0.16
Peñausende (Zamora),NO2,1.0,0.97,0.68,0.44,0.8,0.92,1.41,1.67,1.56,0.62,0.75,0.72,0.96
Els Torms (Lleida),SO2,0.54,0.52,0.47,0.43,0.57,0.5,1.02,0.92,0.61,0.5,0.4,0.34,0.56
Els Torms (Lleida),O3,47.0,63.0,75.0,80.0,78.0,78.0,86.0,84.0,83.0,67.0,51.0,52.0,70.0
Els Torms (Lleida),NO,0.3,0.19,0.16,0.14,0.13,0.13,0.13,0.13,0.12,0.14,0.25,0.27,0.17
Els Torms (Lleida),NO2,4.07,3.46,2.84,2.5,2.04,1.72,1.6,1.3,1.97,2.37,3.7,2.97,2.54
O Saviñao (Lugo),SO2,0.69,0.7,0.64,0.72,1.08,1.05,1.07,1.08,1.1,1.13,1.32,1.38,1.0
O Saviñao (Lugo),O3,51.0,59.0,66.0,65.0,68.0,61.0,59.0,53.0,62.0,57.0,51.0,60.0,59.0
O Saviñao (Lugo),NO,0.22,0.32,0.27,0.4,0.45,0.4,0.58,0.48,0.43,0.29,0.35,0.28,0.38
O Saviñao (Lugo),NO2,2.28,3.03,2.13,3.57,2.53,2.17,1.96,2.01,2.48,1.85,2.63,2.11,2.39
Doñana (Huelva),SO2,0.42,0.62,0.49,0.75,0.79,0.87,0.67,0.91,0.59,0.5,0.48,0.66,0.65
Doñana (Huelva),O3,43.0,50.0,70.0,75.0,75.0,72.0,80.0,69.0,71.0,64.0,43.0,48.0,64.0
Doñana (Huelva),NO,0.56,0.44,0.22,0.16,0.27,0.18,0.23,0.21,0.42,0.32,0.29,0.33,0.3
Doñana (Huelva),NO2,5.17,4.08,2.85,2.17,2.78,2.04,2.7,2.65,3.68,2.99,2.51,2.45,3.0
