Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,1.11849,95778,086,137,,,INTERNET,2018 ,Octubre
PATATAS FRESCAS,66189,59420,09,076,,,INTERNET,2018 ,Octubre
PATATAS CONGELADAS,4424,4152,094,011,,,INTERNET,2018 ,Octubre
PATATAS PROCESADAS,8247,32206,391,083,,,INTERNET,2018 ,Octubre
PATATAS FRITAS,3833,25706,671,066,,,INTERNET,2018 ,Octubre
T.HORTALIZAS FRESCAS,1.84486,4.05571,22,259,,,INTERNET,2018 ,Octubre
TOMATES,36012,71030,197,115,,,INTERNET,2018 ,Octubre
CEBOLLAS,23991,24546,102,092,,,INTERNET,2018 ,Octubre
AJOS,1732,8277,478,028,,,INTERNET,2018 ,Octubre
COLES,6636,7819,118,023,,,INTERNET,2018 ,Octubre
PEPINOS,2902,5029,173,015,,,INTERNET,2018 ,Octubre
JUDIAS VERDES,9590,29628,309,028,,,INTERNET,2018 ,Octubre
PIMIENTOS,11743,22896,195,053,,,INTERNET,2018 ,Octubre
CHAMPIÑONES+O.SETAS,3567,15200,426,031,,,INTERNET,2018 ,Octubre
LECHUGA/ESC./ENDIVIA,10816,27347,253,048,,,INTERNET,2018 ,Octubre
ESPARRAGOS,2253,11000,488,013,,,INTERNET,2018 ,Octubre
VERDURAS DE HOJA,2953,6545,222,027,,,INTERNET,2018 ,Octubre
BERENJENAS,1644,2886,176,014,,,INTERNET,2018 ,Octubre
ZANAHORIAS,10174,8495,083,059,,,INTERNET,2018 ,Octubre
CALABACINES,14734,23681,161,058,,,INTERNET,2018 ,Octubre
OTR.HORTALIZAS/VERD.,45739,1.41192,309,098,,,INTERNET,2018 ,Octubre
BROCOLI,3805,7905,208,018,,,INTERNET,2018 ,Octubre
ALCACHOFAS,000,000,0,0,,,INTERNET,2018 ,Octubre
VERD./HORT. IV GAMA,16715,53357,319,084,,,INTERNET,2018 ,Octubre
