Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,99486,66139,066,12,,,INTERNET,2014 ,Septiembre
PATATAS FRESCAS,30710,18252,059,049,,,INTERNET,2014 ,Septiembre
PATATAS CONGELADAS,1775,1999,113,008,,,INTERNET,2014 ,Septiembre
PATATAS PROCESADAS,13400,45888,342,081,,,INTERNET,2014 ,Septiembre
T.HORTALIZAS FRESCAS,56804,1.16063,204,171,,,INTERNET,2014 ,Septiembre
TOMATES,6844,13400,196,048,,,INTERNET,2014 ,Septiembre
CEBOLLAS,9355,8283,089,04,,,INTERNET,2014 ,Septiembre
AJOS,352,1646,467,007,,,INTERNET,2014 ,Septiembre
COLES,344,541,157,002,,,INTERNET,2014 ,Septiembre
PEPINOS,2054,3411,166,018,,,INTERNET,2014 ,Septiembre
JUDIAS VERDES,1818,4672,257,014,,,INTERNET,2014 ,Septiembre
PIMIENTOS,3118,5139,165,046,,,INTERNET,2014 ,Septiembre
CHAMPIÑONES+O.SETAS,3434,13448,392,039,,,INTERNET,2014 ,Septiembre
LECHUGA/ESC./ENDIVIA,3257,11649,358,048,,,INTERNET,2014 ,Septiembre
ESPARRAGOS,2133,2658,125,008,,,INTERNET,2014 ,Septiembre
VERDURAS DE HOJA,2892,7156,247,024,,,INTERNET,2014 ,Septiembre
BERENJENAS,1839,2535,138,02,,,INTERNET,2014 ,Septiembre
ZANAHORIAS,5946,3971,067,036,,,INTERNET,2014 ,Septiembre
CALABACINES,3751,6205,165,026,,,INTERNET,2014 ,Septiembre
OTR.HORTALIZAS/VERD.,9668,31350,324,084,,,INTERNET,2014 ,Septiembre
VERD./HORT. IV GAMA,5342,28084,526,066,,,INTERNET,2014 ,Septiembre
VERD./HORT. ECOLOGIC,2484,5841,235,009,,,INTERNET,2014 ,Septiembre
