iter	RMSE
445	16470.39479
446	16470.11446
447	16469.57237
448	16469.44036
449	16468.67198
450	16468.47503
451	16468.1663
452	16466.98339
453	16466.61195
454	16466.22906
455	16466.08226
456	16465.01622
457	16464.32015
458	16463.74287
459	16463.66626
460	16462.83062
461	16462.17859
462	16461.11328
463	16460.67892
464	16459.82536
465	16459.38267
466	16458.48964
467	16457.49116
468	16456.07964
469	16455.92894
470	16454.74479
471	16454.249
472	16453.71348
473	16452.90306
474	16452.50659
475	16452.04103
476	16451.61144
477	16451.06558
478	16450.78219
479	16450.60857
480	16449.98735
481	16448.43858
482	16448.0388
483	16447.88331
484	16447.34977
485	16447.25672
486	16446.91665
487	16446.65724
488	16446.51164
489	16445.30194
490	16444.95067
491	16444.19654
492	16444.08251
493	16443.24361
494	16442.80873
495	16441.69422
496	16441.5589
497	16441.40326
498	16440.78642
499	16440.08776
