Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,10.09978,10.24816,101,1415,,,HIPERMERCADOS,2016 ,Agosto
PATATAS FRESCAS,5.46679,4.80530,088,748,,,HIPERMERCADOS,2016 ,Agosto
PATATAS CONGELADAS,28368,39337,139,11,,,HIPERMERCADOS,2016 ,Agosto
PATATAS PROCESADAS,86986,5.04949,58,933,,,HIPERMERCADOS,2016 ,Agosto
T.HORTALIZAS FRESCAS,13.01557,24.58328,189,2362,,,HIPERMERCADOS,2016 ,Agosto
TOMATES,3.50215,5.42081,155,1197,,,HIPERMERCADOS,2016 ,Agosto
CEBOLLAS,1.82148,2.07662,114,789,,,HIPERMERCADOS,2016 ,Agosto
AJOS,19052,92516,486,302,,,HIPERMERCADOS,2016 ,Agosto
COLES,14603,14901,102,063,,,HIPERMERCADOS,2016 ,Agosto
PEPINOS,85364,95843,112,545,,,HIPERMERCADOS,2016 ,Agosto
JUDIAS VERDES,30627,1.12758,368,205,,,HIPERMERCADOS,2016 ,Agosto
PIMIENTOS,1.22638,2.44139,199,937,,,HIPERMERCADOS,2016 ,Agosto
CHAMPIÑONES+O.SETAS,23147,98555,426,289,,,HIPERMERCADOS,2016 ,Agosto
LECHUGA/ESC./ENDIVIA,81218,2.67058,329,749,,,HIPERMERCADOS,2016 ,Agosto
ESPARRAGOS,4356,30229,694,071,,,HIPERMERCADOS,2016 ,Agosto
VERDURAS DE HOJA,14875,74060,498,238,,,HIPERMERCADOS,2016 ,Agosto
BERENJENAS,38206,50488,132,261,,,HIPERMERCADOS,2016 ,Agosto
ZANAHORIAS,84188,75874,09,537,,,HIPERMERCADOS,2016 ,Agosto
CALABACINES,95394,1.11433,117,501,,,HIPERMERCADOS,2016 ,Agosto
OTR.HORTALIZAS/VERD.,1.55526,4.40729,283,103,,,HIPERMERCADOS,2016 ,Agosto
VERD./HORT. IV GAMA,1.01922,4.20326,412,855,,,HIPERMERCADOS,2016 ,Agosto
